word,meaning,pos,language_id,meaning_language_id,dictionary_id,
ಅಂದವಿಲ್ಲದ ,ಮೈಯಲ್ಲಿ ನೆಟ್ಟಗಿಲ್ಲದ,NULL,1,1,6,
ಅಂದು ,"ನಿಲುಕು, ಎಟುಕು; ಆಡಿ",NULL,1,1,6,
ಅಂದುಗೆ ,"ಕಾಲಿನ ಆಭರಣ, ಗೆಜ್ಜೆ",NULL,1,1,6,
ಅಂಧ ,ಕುರುಡ,NULL,1,1,6,
ಅಂಧಂತಮಸು ,"ನರಕದಲ್ಲಿಯ ಅತಿ ಕತ್ತಲೆಯ ಭಾಗ, ಮುಖ್ಯ ನರಕಗಳಲ್ಲೊಂದು",NULL,1,1,6,
ಅಂಧಃತಾಮಿಸ್ರ ,"ಅಂಧಂತಮಸ್ಸು, ಕಗ್ಗತ್ತಲೆಯ ನರಕ; (ನಾನು ಸತ್ತರೂ ಯಥಾರ್ಥ ಜ್ಞಾನಿಗಳನ್ನು ಸ್ವಸ್ಥವಾಗಿ ಇರಗೊಡಲಾರೆ ಎನ್ನುವ ಆಕ್ರೋಶದ ವಿಸ್ತಾರ )",NULL,1,1,6,
ಅಂಧಕ ,ಕುರುಡ,NULL,1,1,6,
ಅಂಧಕಜಾತರು ,ಕುರುಡನ ಮಕ್ಕಳು; ದೃತರಾಷ್ಟ್ರನ ಮಕ್ಕಳಾದ ಕೌರವರು,NULL,1,1,6,
ಅಂಧಕನಸುತ ,ದುರ್ಯೋಧನ,NULL,1,1,6,
ಅಂಧಕರೈವರು ,ಪಂಚೇಂದ್ರಿಯಗಳು,NULL,1,1,6,
ಅಂಧಕೂಪ ,"ಕತ್ತಲಿನಿಂದ ತುಂಬಿರುವ ಬಾವಿ, ಹಾಳು ಬಾವಿ; ನರಕ",NULL,1,1,6,
ಅಂಧತ್ವ ,ಕುರುಡುತನ,NULL,1,1,6,
ಅಂಧನೃಪನಂದನ ,ದುರ್ಯೋಧನ,NULL,1,1,6,
ಅಂಧರಾಯ ,ಧೃತರಾಷ್ಟ್ರ,NULL,1,1,6,
ಅಂಬ ,"ಹಸು, ಮಾತೆ, ತಾಯಿ",NULL,1,1,6,
ಅಂಬಕ ,ಕಣ್ಣು,NULL,1,1,6,
ಅಂಬಕತ್ರಯ ,ಮೂರುಕಣ್ಣುಳ್ಳವನು-ಶಿವ,NULL,1,1,6,
ಅಂಬಟೆಕಾಯಿ ,ಸಣ್ಣಸಣ್ಣ ಮಾವಿನ ಕಾಯಿಯಂತಹ ಹುಳಿಗಾಯಿ (ಉಪ್ಪಿನಕಾಯಿ ಹಾಕುವ ರೂಢಿಯಿದೆ),NULL,1,1,6,
ಅಂಬರ ,ಆಕಾಶ; ವಸ್ತ್ರ; ಹತ್ತಿರ,NULL,1,1,6,
ಅಂಬರಕೇಳಿ ,ಮಾಯಾಜಾಲ; ಕ್ಷಣಿಕಸುಖ,NULL,1,1,6,
ಅಂಬರಕೇಶ ,ಶಿವ,NULL,1,1,6,
ಅಂಬರಗ್ಗಣೆ ,ದೇವಗಂಗೆ,NULL,1,1,6,
ಅಂಬರಗ್ಗವಣಿ ,ಆಕಾಶಗಂಗೆ,NULL,1,1,6,
ಅಂಬರದಹನ ,ಆಕಾಶದಲ್ಲಿ ಇದ್ದ ತ್ರಿಪುರಗಳನ್ನು ದಹಿಸಿದವ-ಶಿವ,NULL,1,1,6,
ಅಂಬರಭೂಮಿವಿಹಾರಿಣಿ ,"ಆಕಾಶ ಭೂಮಿಗಳಲ್ಲಿ ವಿಹರಿಸುವವಳು-ದುರ್ಗಾದೇವಿ, ಗಂಗೆ",NULL,1,1,6,
ಅಂಬರಮಣಿ ,ಸೂರ್ಯ,NULL,1,1,6,
ಅಂಬರಮಾನಿ ,ಆಕಾಶಕ್ಕೆ ಅಭಿಮಾನಿಯಾದ ಗಣಪತಿ,NULL,1,1,6,
ಅಂಬರರಾಜ ,ಆಕಾಶರಾಜ,NULL,1,1,6,
ಅಂಬರಾಂಬರ ,"ದಿಗಂಬರ, ಬೌದ್ಧಾವತಾರ",NULL,1,1,6,
ಅಂಬರಾದ್ಯರು ,"ಪಂಚಭೂತಗಳು, ಭೂತಾಭಿಮಾನಿ ದೇವತೆಗಳು",NULL,1,1,6,
ಅಂಬರಾಧಿಪ ,ದೇವತೆಗಳ ಒಡೆಯ; ಅಂತರಿಕ್ಷಾಭಿಮಾನಿಯಾದ ಗಣಪತಿ,NULL,1,1,6,
ಅಂಬರಾಧೀಶ್ವರ ,ಆಕಾಶಕ್ಕೆ ಅಭಿಮಾನಿದೇವನು-ಗಣಪತಿ,NULL,1,1,6,
ಅಂಬರೀಶವರದ ,ವಿಷ್ಣು,NULL,1,1,6,
ಅಂಬರೇಶ ,"ಆಕಾಶರಾಜ, ಚಂದ್ರ",NULL,1,1,6,
ಅಂಬಳ ,ಜಗನ್ಮಾತೆ,NULL,1,1,6,
ಅಂಬಷ್ಠ ,ಮಾವುತ; ಕ್ಷೌರಿಕ,NULL,1,1,6,
ಅಂಬಾ ,"ದೇವಿ, ತಾಯಿ",NULL,1,1,6,
"ಅಂಬಾತನಯ, ಅಂಬಿಕಜ ",ಪಾರ್ವತಿಯ ಪುತ್ರ-ಗಣಪತಿ,NULL,1,1,6,
ಅಂಬಿಕಾ ,ಪಾರ್ವತಿ,NULL,1,1,6,
ಅಂಬಿಕಾಲಯ ,ಕಾಳಿಯ ಗುಡಿ,NULL,1,1,6,
ಅಂಬಿಗ ,ನಾವಿಕ,NULL,1,1,6,
ಅಂಬು ,"ನೀರು, ಗಂಗಾನದಿ; ಕರ; ಬಾಣ",NULL,1,1,6,
ಅಂಬುಕಣ ,ನೀರಹನಿ,NULL,1,1,6,
ಅಂಬುಗುಳ್ಳೆ ,ನೀರುಗುಳ್ಳೆ,NULL,1,1,6,
ಅಂಬುಚರ ,"ಮತ್ಸ್ಯಾವತಾರ-ವಿಷ್ಣು,  ಮಚ್ಚರೂಪಿ; ನೀರಿನ ಸೆಳೆವು (ಸಂಸಾರವೆಂಬ ನೀರು)",NULL,1,1,6,
ಅಂಬುಜ ,ಕಮಲ,NULL,1,1,6,
ಅಂಬುಜನಾಭ ,ಪದ್ಮನಾಭರೂಪಿ ಪರಮಾತ್ಮ-ವಿಷ್ಣು (ಹೊಕ್ಕುಳಲ್ಲಿ ಕಮಲವುಳ್ಳವ),NULL,1,1,6,
ಅಂಬುಜನೇತ್ರ ,ಕಮಲನಯನ-ವಿಷ್ಣು,NULL,1,1,6,
ಅಂಬುಜಭವ ,ಬ್ರಹ್ಮ,NULL,1,1,6,
ಅಂಬುಜಭವವಿನುತ ,ಬ್ರಹ್ಮನಿಂದ ಸ್ತುತಿಸಲ್ಪಡತಕ್ಕವನು,NULL,1,1,6,
ಅಂಬುಜಮಿತ್ರ ,ಸೂರ್ಯ,NULL,1,1,6,
"ಅಂಬುಜಮಿತ್ರತನಯ, ಅಂಬುಜಮಿತ್ರಸುತ ","ಸೂರ್ಯನ ಮಗನಾದ ಯಮ, ಸುಗ್ರೀವ, ಕರ್ಣ, ಶನೈಶ್ಚರ",NULL,1,1,6,
ಅಂಬುಜವಲ್ಲಿ ,ಲಕ್ಷ್ಮಿ,NULL,1,1,6,
ಅಂಬುಜಷಂಡ ,ಕಮಲಗಳ ಸಮೂಹ,NULL,1,1,6,
ಅಂಬುಜಸಂಭವ ,ಬ್ರಹ್ಮ,NULL,1,1,6,
ಅಂಬುಜಾ ,ಲಕ್ಷ್ಮಿ,NULL,1,1,6,
"ಅಂಬುಜಾಂಬಕ, ಅಂಬುಜಾಕ್ಷ ",ಕಮಲದಂತೆ ಕಣ್ಣುಳ್ಳವನು-ವಿಷ್ಣು,NULL,1,1,6,
ಅಂಬುಜಾಕ್ಷಿ ,"ಕಮಲದಂತೆ ಸುಂದರವಾದ ಕಣ್ಣುಗಳುಳ್ಳವಳು, ಕಮಲಾಕ್ಷಿ",NULL,1,1,6,
ಅಂಬುಜಾಪ್ತ ,ಸೂರ್ಯ,NULL,1,1,6,
ಅಂಬುಜಾರಿ ,ಚಂದ್ರ,NULL,1,1,6,
ಅಂಬುಜಾರಿಧರ ,"ಶಿವ, ಚಂದ್ರಶೇಖರ",NULL,1,1,6,
ಅಂಬುಜಾಲಯಪತಿ ,ಲಕ್ಷ್ಮೀಪತಿ-ಶ್ರೀಹರಿ,NULL,1,1,6,
ಅಂಬುಜಾಸನ ,ಬ್ರಹ್ಮ,NULL,1,1,6,
ಅಂಬುಜೋದ್ಭವಪಿತ ,ವಿಷ್ಣು,NULL,1,1,6,
ಅಂಬುದ ,ಮೋಡ,NULL,1,1,6,
ಅಂಬುದಶ್ಯಾಮ ,"ಮೇಘಶ್ಯಾಮನಾದ ಶ್ರೀಹರಿ, ನೀಲವರ್ಣನಾದ ಕೃಷ್ಣ",NULL,1,1,6,
ಅಂಬುಧಿ ,ಸಮುದ್ರ,NULL,1,1,6,
ಅಂಬುಧಿಜಾ ,ಲಕ್ಷ್ಮಿ,NULL,1,1,6,
ಅಂಬುಮೊನೆ ,ಬಾಣದ ತುದಿ,NULL,1,1,6,
ಅಂಬುರುಹ ,ಕಮಲ,NULL,1,1,6,
ಅಂಬುರುಹನಾಭ ,ಕಮಲನಾಭ-ವಿಷ್ಣು,NULL,1,1,6,
ಅಂಬುರುಹೋದ್ಭವ ,ಬ್ರಹ್ಮ,NULL,1,1,6,
ಅಂಬುವಾರಾಸಿ ,ನೀರಿನ ಸಮುದ್ರ,NULL,1,1,6,
ಅಂಬುಶಾಯಿ ,ನಾರಾಯಣ,NULL,1,1,6,
ಅಂಭೋಧಿ ,ಸಮುದ್ರ,NULL,1,1,6,
ಅಂಭೋಧಿಶಯನ ,ವಿಷ್ಣು,NULL,1,1,6,
ಅಂಭೋನಿಧಿ ,ಸಮುದ್ರ,NULL,1,1,6,
ಅಂಭೋರುಹ ,ಕಮಲ,NULL,1,1,6,
ಅಂಭೋಹ ವೀಧಿ ,ಮೇಘಮಾರ್ಗ,NULL,1,1,6,
ಅಂಭ್ರಣಿ ,"ವೇದಾಭಿಮಾನಿ-ಲಕ್ಷ್ಮೀದೇವಿ, ಸೃಷ್ಟಿಯ ಪ್ರಾರಂಭದಲ್ಲಿ ಯೋಗನಿದ್ರಾರೂಢನಾದ ಶ್ರೀಹರಿಯನ್ನು ಎಬ್ಬಿಸುವ ಲಕ್ಷ್ಮೀದೇವಿಯ ರೂಪ; ವೇದವ್ಯಾಸರ ಪತ್ನಿ; ಸರಸ್ವತಿ; ಪಾದಧೂಳು",NULL,1,1,6,
ಅಂಶ ,ಅವತಾರ ರೂಪ,NULL,1,1,6,
ಅಂಶಿಗೆ ,ಮೂಲರೂಪ,NULL,1,1,6,
ಅಂಶು ,ಕಿರಣ,NULL,1,1,6,
ಅಂಶುಮಾಲಿ ,ಸೂರ್ಯ,NULL,1,1,6,
ಅಂಸ ,ಹೆಗಲು,NULL,1,1,6,
ಅಉಮ ,ಈ ಮೂರು ಅಕ್ಷರಗಳು ಸೇರಿ ಆದದ್ದು ಓಂಕಾರ,NULL,1,1,6,
ಅಕಟ ,"ಆಶ್ಚರ್ಯ, ಉದ್ಗಾರ",NULL,1,1,6,
ಅಕಟಕಟ ,ಅಯ್ಯಯ್ಯೋ,NULL,1,1,6,
ಅಕಳಂಕ ,"ಕಳಂಕವಿಲ್ಲದ, ನಿರ್ಮಲ",NULL,1,1,6,
ಅಕಾಮ್ಯ ,ಅಪೇಕ್ಷೆಯಿಲ್ಲದ,NULL,1,1,6,
ಅಕಾಯ ,"ನಿರಾಕಾರ, ಅಪ್ರಾಕೃತ ಶರೀರ",NULL,1,1,6,
ಅಕಿಂಚನ ,"ಬಹಳ ಬಡವ, ದಟ್ಟ ದರಿದ್ರ",NULL,1,1,6,
ಅಕುಂಠಿತ ,"ಕುಂದಿಲ್ಲದ, ನಾಶವಾಗದ",NULL,1,1,6,
ಅಕುಟಿಲ ,"ಸತ್ಯಮಾರ್ಗವನ್ನನುಸರಿಸುವವ, ವಕ್ರತೆಯಿಲ್ಲದವನು, ದೋಷವಿಲ್ಲದವ",NULL,1,1,6,
ಅಕುಟಿಲಾತ್ಮಕ ,"ಕಪಟರಹಿತ, ನಿಖಿಲದೋಷದೂರ-ಶ್ರೀಹರಿ",NULL,1,1,6,
ಅಕುತೋಭಯ ,ಯಾವ ಕಾರಣದಿಂದಲು ಭಯವಿಲ್ಲದವನು,NULL,1,1,6,
ಅಕೂಪಾರ ,ಆಮೆ; ಆಳವಲ್ಲದ,NULL,1,1,6,
ಅಕೃತ ,ಅಪಕ್ವ,NULL,1,1,6,
ಅಕೃತ್ರಿಮ ,ಕೃತ್ರಿಮವಿಲ್ಲದ,NULL,1,1,6,
ಅಕ್ಕಜ ,ಆಶ್ಚರ್ಯ; ಅಸೂಯೆ,NULL,1,1,6,
ಅಕ್ಕಟ ,ಅಯ್ಯೋ,NULL,1,1,6,
ಅಕ್ಕರ ,"ಅಕ್ಷರ, ವರ್ಣ; ಪ್ರೀತಿ; (ನನ್ನ) ಹಣೆಯ ಬರಹ",NULL,1,1,6,
ಅಕ್ಕರತಿ ,ಅತುಲವಾದ ಪ್ರೀತಿ,NULL,1,1,6,
ಅಕ್ಕರೆ ,ಪ್ರೀತಿ,NULL,1,1,6,
ಅಕ್ಕಳೆ ,ಕವೆ,NULL,1,1,6,
ಅಕ್ಕಸ ,"ರೋಷ, ಆಕ್ರೋಶ; ಕನಿಕರದಿಂದಕೂಡಿದ; ಮೊರೆ",NULL,1,1,6,
ಅಕ್ಕಿಗೆತಿರುಗುವವ ,"ಭಿಕ್ಷಾಟನೆ ಮಾಡುವವ, ಯಾಯಾವಾರ ಮಾಡುವವ",NULL,1,1,6,
ಅಕ್ಕಿಪಿಲ್ಲಿ ,ಅಕ್ಕಿ ಆಕಾರದ ಒಂದು ಬಗೆಯ ಕಾಲುಂಗುರ,NULL,1,1,6,
ಅಕ್ಕಿಸು ,"ಪಡೆದುಕೊ, ಭಿಕ್ಷಾಟನೆ ಮಾಡು",NULL,1,1,6,
